accuracy,prompt,answer_1,answer_2,answer_3,answer_4,answer_5,correct_answer,avg_time,category
0.0,"Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence.",D,D,D,D,D,I,0.040520846,business
0.0,"Managers are entrusted to run the company in the best interest of ________. Specifically, they have a duty to act for the benefit of the company, as well as a duty of ________ and of _______.",B,B,B,B,B,F,0.04057653640000001,business
0.0,"There are two main issues associated with _____ sizing. _______ is a key issue as due to the information policy of the corporation it can be argued that employees have a right to know if they are being made redundant. _______ is a second issue, particularly the ________ package that employees receive when laid off.",A,A,A,A,A,J,0.043269975599999996,business
0.0,_______ locate morality beyond the sphere of rationality in an emotional 'moral impulse' towards others.,H,H,H,H,H,C,0.0378223474,business
0.0," Some of key differences between Islamic finance and conventional finance include - prohibition of charging and paying _______, prohibition on ______ and ______ transactions, prohibition of sinful investment and requirement for all financial products to be backed by __________.",A,C,A,C,C,G,0.043397251000000005,business
0.0, Which of the following are the three broad groups of organizational characteristics segmentation criteria?,C,C,C,C,C,A,0.0397116116,business
0.4," Pine and Gilmore (1999) derive four distinct realms of experience, based on two dimensions. What are these dimensions?",F,F,D,D,F,D,0.038864554600000004,business
1.0," Which type of research methods are designed to elicit responses to predetermined, standardized questions from many respondents?",J,J,J,J,J,J,0.037898541200000004,business
1.0,"Where the price is set low relative to the competition to gain market share, this strategy is known as:",E,E,E,E,E,E,0.0380904378,business
0.0,"Once a train pulls out of a station, or an aeroplane takes off or a film starts, those seats are lost and can never be sold. This is referred to as:",J,J,J,J,J,F,0.0380012692,business
1.0,"A marketing research firm contracts with clients to conduct a complete marketing research project from data collection, analysis, and reporting. It is a__________ firm.",E,E,E,E,E,E,0.0379242718,business
0.0,The six dimensions usually considered to constitute the external marketing environment include all of the following except:,C,C,C,C,C,G,0.037882924400000004,business
1.0,What is the term for the 'rule of thumb' type of bias in decision making?,J,J,J,J,J,J,0.0380456582,business
0.0,As what is ensuring that one individual does not carry the burden of a whole work task referred to?,A,A,A,A,A,D,0.0381162268,business
0.0,What theory is built around the principle that 'people make choices regarding how to behave based on values and beliefs'?,J,J,J,J,J,F,0.0381205316,business
0.0,How does lateral communication in an organisation occur?,H,H,H,H,H,J,0.0389521424,business
0.0,"The stock of the CCC Corporation is currently valued at $12 and is assumed to possess all the properties of geometric Brownian motion. It has an expected annual return of 15%, an annual volatility of 20%, and the annual risk-free is 10%. Using a binomial lattice, determine the price of a call option on CCC stock maturing in 10 monthes time with a strike price of $14 (Let the distance between nodes on your tree be 1 month in length).",C,C,C,C,C,F,0.043313025000000005,business
0.0,"George is seen to place an even-money $100,000 bet on the Bulls to win the NBA Finals. If George has a logarithmic utility-of-wealth function and if his current wealth is $1,000,000, what must he believe is the minimum probability that the Bulls will win?",B,B,B,B,B,A,0.0396535388,business
0.0,"Boy Alcott and Jon Buxton are partners in a steel company. They share the net income in proportion to their average investments. On January 1, Alcott invested $4,000 and Buxton invested $5,000. On May 1, Alcott invested an additional $2,000 and Buxton invested $1,750. On September 1, Alcott withdrew $500. On November 1, each partner invested an additional $2,000. The net profit for the year was $8,736. Find each partner's share of the profit.",C,C,C,C,C,B,0.0512939746,business
0.0,"TheAlforsCompany had a beginning inventory of $30,000, Jan 1, 1974. During the year, purchases amounted to $87,500, net sales to $102,000. Assuming that the gross profit rate is 40% of the net sales, what is the ending inventory using the gross profit method of inventory evaluation?",A,A,A,A,A,D,0.042905841199999996,business
0.0,"(a) Given the two discount series of 30-10-2(1/2) % and 25-15-2%, which is better? (b) Given the discount series 15-15% and the single rate of 30%, which is better?",A,A,A,A,A,J,0.0506133988,business
0.0,"On July 7, Magee Data stock sold at a high of 23(1/8) and a low of 22(5/8). Giant Industrials sold for a high of 24(1/4) and a low of 23(1/2). Mr. Taylor purchased 300 shares of Magee Data at the high of the day and 400 shares of Giant Industrials at the low of the day. What was the cost of his purchase?",A,A,A,A,A,I,0.045342872400000005,business
0.0,"During a riot, Mr. Winter's car was overturned causing $346.50 in damage.Mr. Winter had $50-deductible col-lision insurance, but no comprehensive coverage. How much will theinsurance company pay Mr. Winter?",A,A,A,A,A,E,0.0392832496,business
0.0,"Janet Firestone purchased an option on a stock for $175 giving her the right to buy 100 shares at 14(1/2) within 90 days. One month later, she exercised her option and then sold the stock on the same day for 17. What was her profit on the stock?",C,C,C,C,C,H,0.0392393204,business
0.0,"Margaret Denault recently rented a truck to drive 516 miles in days and 17 hours, using 54 gallons of gasoline. The rental company charged her $32 per day, $.22 per mile, and $.445 per gal-lon of gas. Extra hours were charged $2.75 per hour. Find the total cost of the rental.",A,A,A,A,A,J,0.042685609400000005,business
1.0,Where in the balance sheet does each of the following belong? (A) Taxes payable (B) Capital stock (C) Retailed earnings (D) Administrative expense (E) Prepaid expenses,J,J,J,J,J,J,0.051115385,business
0.0,"Prepare a balance sheet for Silvertown Office Supplies, C.H. Walters, owner, as of April 30 of the current year, based on the following information: Cash, $3,390; Notes Receivable, $2,905; Accounts Receivable, $8,215; Merchandise Inventory, $23,600; Store Supplies, $720; Store Fixtures, $2,895; Furniture and Equipment, $5,600; Notes Payable, $5,250; Accounts Payable, $4,800.",A,A,A,A,A,H,0.045430058,business
0.0,What is the net cost of a tape recorder whose list price is $32 and on which the discount rate is 30%?,C,C,C,C,C,F,0.038413286000000005,business
0.0,"Mr. Frankel wants to borrow $2,000 from November 16 for 143 days. The interest rate is 6%. What would the difference in the interest charge amount to if the bank used exact interest instead of bankers' interest?",A,B,B,B,B,H,0.03896711160000001,business
0.0,"HarryHyppeis paid a straight wage of $2.89 (1/2) per hour. If he works 9 hours a day in a six-day week, how much will he be paid?",A,A,A,A,A,C,0.03940381219999999,business
0.0,"Steven Moore purchased a new car for $3,462.20, including taxes and all other charges. He wishes to pay for it in 35 months. Find his monthly payments.",B,B,B,B,B,E,0.039238655,business
0.0,"A man sells novelty items for $1.25 each. His cost is $.75 apiece plus a fixed cost of $140,000. How many items must he sell to break even? What is his sales revenue at that point?",C,A,A,A,A,H,0.045712632,business
0.0,"Find the amount to be paid each month in order to pay off car described below in two years. Price of car: $5,779.00 Transportation charge: $73.00 Factory-installed equipment: Radio 95.50 Metallic paint 59.90 Racing stripes 39.50 Power steering 98.00 Wide radial tires 198.10 Air conditioning 429.00 Dealer-installed equipment: Mirror $8.50 Mats 10.75 Undercoat 35.00 Insurance : Collision ($100-deductible) $505.75 for two years Comprehensive 231.50 for two years Sales tax: 5% Cash deposit: $500.00 Cost of financing: 9(1/2)%per year for two Years Used car allowance: $370.00",C,C,C,C,C,J,0.0461561776,business
0.0,"Find the break-even point for the cost of production C and the revenue R received for each of the following: (a) C = $10x + $600,R = $30x (b) C = $5x + $200,R = $8x (c) C = $0.2x + $50,R = $0.3x (d) C = $1800x + $3000,R = $2500x",A,A,A,A,A,I,0.051021752200000006,business
