question_id,accuracy,prompt,model_answer,correct_answer,time,category,input_tokens,output_tokens
70,1.0,"Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence.",I,I,2.8589046,business,196,238
71,1.0,"Managers are entrusted to run the company in the best interest of ________. Specifically, they have a duty to act for the benefit of the company, as well as a duty of ________ and of _______.",F,F,3.6192664,business,213,324
72,1.0,"There are two main issues associated with _____ sizing. _______ is a key issue as due to the information policy of the corporation it can be argued that employees have a right to know if they are being made redundant. _______ is a second issue, particularly the ________ package that employees receive when laid off.",J,J,4.6804623,business,237,536
73,0.0,_______ locate morality beyond the sphere of rationality in an emotional 'moral impulse' towards others.,H,C,3.2347722,business,132,338
74,1.0," Some of key differences between Islamic finance and conventional finance include - prohibition of charging and paying _______, prohibition on ______ and ______ transactions, prohibition of sinful investment and requirement for all financial products to be backed by __________.",G,G,2.43673,business,231,202
75,1.0, Which of the following are the three broad groups of organizational characteristics segmentation criteria?,A,A,3.5216459,business,180,403
76,1.0," Pine and Gilmore (1999) derive four distinct realms of experience, based on two dimensions. What are these dimensions?",D,D,2.7988392,business,154,225
77,1.0," Which type of research methods are designed to elicit responses to predetermined, standardized questions from many respondents?",J,J,3.2635044,business,121,334
78,1.0,"Where the price is set low relative to the competition to gain market share, this strategy is known as:",E,E,3.2614995,business,127,315
79,1.0,"Once a train pulls out of a station, or an aeroplane takes off or a film starts, those seats are lost and can never be sold. This is referred to as:",F,F,3.4508212,business,150,425
80,1.0,"A marketing research firm contracts with clients to conduct a complete marketing research project from data collection, analysis, and reporting. It is a__________ firm.",E,E,2.1886888,business,132,324
81,0.0,The six dimensions usually considered to constitute the external marketing environment include all of the following except:,C,G,1.5743248,business,122,251
82,1.0,What is the term for the 'rule of thumb' type of bias in decision making?,J,J,1.9519728,business,125,285
83,0.0,As what is ensuring that one individual does not carry the burden of a whole work task referred to?,B,D,2.4680944,business,120,334
84,1.0,What theory is built around the principle that 'people make choices regarding how to behave based on values and beliefs'?,F,F,2.6685696,business,124,364
85,1.0,How does lateral communication in an organisation occur?,J,J,2.2281299,business,153,329
86,0.0,"The stock of the CCC Corporation is currently valued at $12 and is assumed to possess all the properties of geometric Brownian motion. It has an expected annual return of 15%, an annual volatility of 20%, and the annual risk-free is 10%. Using a binomial lattice, determine the price of a call option on CCC stock maturing in 10 monthes time with a strike price of $14 (Let the distance between nodes on your tree be 1 month in length).",J,F,4.2757368,business,217,722
87,1.0,"George is seen to place an even-money $100,000 bet on the Bulls to win the NBA Finals. If George has a logarithmic utility-of-wealth function and if his current wealth is $1,000,000, what must he believe is the minimum probability that the Bulls will win?",A,A,3.2888067,business,178,498
88,1.0,"Boy Alcott and Jon Buxton are partners in a steel company. They share the net income in proportion to their average investments. On January 1, Alcott invested $4,000 and Buxton invested $5,000. On May 1, Alcott invested an additional $2,000 and Buxton invested $1,750. On September 1, Alcott withdrew $500. On November 1, each partner invested an additional $2,000. The net profit for the year was $8,736. Find each partner's share of the profit.",B,B,3.0855953,business,385,592
89,1.0,"TheAlforsCompany had a beginning inventory of $30,000, Jan 1, 1974. During the year, purchases amounted to $87,500, net sales to $102,000. Assuming that the gross profit rate is 40% of the net sales, what is the ending inventory using the gross profit method of inventory evaluation?",D,D,1.3588539,business,189,270
90,1.0,"(a) Given the two discount series of 30-10-2(1/2) % and 25-15-2%, which is better? (b) Given the discount series 15-15% and the single rate of 30%, which is better?",J,J,3.222672,business,353,459
91,1.0,"On July 7, Magee Data stock sold at a high of 23(1/8) and a low of 22(5/8). Giant Industrials sold for a high of 24(1/4) and a low of 23(1/2). Mr. Taylor purchased 300 shares of Magee Data at the high of the day and 400 shares of Giant Industrials at the low of the day. What was the cost of his purchase?",I,I,1.5848643,business,236,267
92,1.0,"During a riot, Mr. Winter's car was overturned causing $346.50 in damage.Mr. Winter had $50-deductible col-lision insurance, but no comprehensive coverage. How much will theinsurance company pay Mr. Winter?",E,E,3.4965394,business,167,309
93,1.0,"Janet Firestone purchased an option on a stock for $175 giving her the right to buy 100 shares at 14(1/2) within 90 days. One month later, she exercised her option and then sold the stock on the same day for 17. What was her profit on the stock?",H,H,2.0275098,business,161,262
