QID,model_answer,question,correct_answer,time,category
70,I,"Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence.",I,1.9836555,business
71,F,"Managers are entrusted to run the company in the best interest of ________. Specifically, they have a duty to act for the benefit of the company, as well as a duty of ________ and of _______.",F,2.866926498,business
72,A,"There are two main issues associated with _____ sizing. _______ is a key issue as due to the information policy of the corporation it can be argued that employees have a right to know if they are being made redundant. _______ is a second issue, particularly the ________ package that employees receive when laid off.",J,5.533611654,business
73,H,_______ locate morality beyond the sphere of rationality in an emotional 'moral impulse' towards others.,C,2.992634541,business
74,G," Some of key differences between Islamic finance and conventional finance include - prohibition of charging and paying _______, prohibition on ______ and ______ transactions, prohibition of sinful investment and requirement for all financial products to be backed by __________.",G,2.217446665,business
75,A, Which of the following are the three broad groups of organizational characteristics segmentation criteria?,A,3.911834365,business
76,D," Pine and Gilmore (1999) derive four distinct realms of experience, based on two dimensions. What are these dimensions?",D,1.235681974,business
77,J," Which type of research methods are designed to elicit responses to predetermined, standardized questions from many respondents?",J,3.414783215,business
78,E,"Where the price is set low relative to the competition to gain market share, this strategy is known as:",E,4.008157032,business
79,D,"Once a train pulls out of a station, or an aeroplane takes off or a film starts, those seats are lost and can never be sold. This is referred to as:",F,3.985478297,business
80,E,"A marketing research firm contracts with clients to conduct a complete marketing research project from data collection, analysis, and reporting. It is a__________ firm.",E,3.180534901,business
81,C,The six dimensions usually considered to constitute the external marketing environment include all of the following except:,G,3.861616427,business
82,J,What is the term for the 'rule of thumb' type of bias in decision making?,J,3.502519672,business
83,A,As what is ensuring that one individual does not carry the burden of a whole work task referred to?,D,3.234905572,business
84,F,What theory is built around the principle that 'people make choices regarding how to behave based on values and beliefs'?,F,4.381128646,business
85,J,How does lateral communication in an organisation occur?,J,2.981350456,business
86,D,"The stock of the CCC Corporation is currently valued at $12 and is assumed to possess all the properties of geometric Brownian motion. It has an expected annual return of 15%, an annual volatility of 20%, and the annual risk-free is 10%. Using a binomial lattice, determine the price of a call option on CCC stock maturing in 10 monthes time with a strike price of $14 (Let the distance between nodes on your tree be 1 month in length).",F,13.795803353,business
87,A,"George is seen to place an even-money $100,000 bet on the Bulls to win the NBA Finals. If George has a logarithmic utility-of-wealth function and if his current wealth is $1,000,000, what must he believe is the minimum probability that the Bulls will win?",A,7.922133588,business
