id,question,Option_A,Option_B,Option_C,Option_D,Answer
1,What is the national sport of Japan?,Judo,Sumo,Karate,Kendo,B
2,What is the capital of the United States?,New York,Los Angeles,Washington D.C.,Chicago,C
3,What is the name of the Greek goddess of love?,Hera,Artemis,Athena,Aphrodite,D
4,What year was Snapchat founded?,2010,2011,2013,2014,B
5,Who discovered America in 1492?,Amerigo Vespucci,Ferdinand Magellan,Christopher Columbus,John Cabot,C
6,Who wrote 'The Great Gatsby'?,Ernest Hemingway,F. Scott Fitzgerald,John Steinbeck,William Faulkner,B
7,How many holes are in a standard golf course?,9,18,27,36,B
8,What is the capital of Tunisia?,Sfax,Sousse,Kairouan,Tunis,D
9,What does 'radar' stand for?,Radio Analyzing Device And Receiver,Radio Detection And Ranging,Remote Area Detection And Ranging,Radio Area Detection And Ranging,B
10,What color are the goalposts in American football?,White,Red,Blue,Yellow,D
11,What is matter made up of?,Molecules only,Atoms,Electrons only,Protons and electrons,B
12,What is the official language of Mexico?,Spanish,Nahuatl,English,Mayan,A
13,What is the capital of Germany?,Munich,Hamburg,Frankfurt,Berlin,D
14,What is the term for animals that are active during the day?,Nocturnal,Crepuscular,Diurnal,Arboreal,C
15,Which country has the longest coastline?,Australia,Canada,Russia,USA,B
16,How many time zones does Russia span?,9,10,11,12,C
17,What is a homophone?,A word opposite in meaning,A word spelled backwards,Words that sound the same but have different meanings,A word with similar meaning,C
18,What is the capital of Cyprus?,Limassol,Larnaca,Paphos,Nicosia,D
19,What does 'OKR' stand for?,Objectives and Key Requirements,Operations and Key Results,Objectives and Key Results,Output and Key Results,C
20,What does 'RGB' stand for?,Red Green Blue,Red Gray Black,Real Graphic Base,Red Green Black,A
21,Who was the first woman to win a Nobel Prize?,Rosalind Franklin,Marie Curie,Dorothy Hodgkin,Ada Lovelace,B
22,Who was Queen of England during World War II?,Queen Elizabeth II,Queen Victoria,"No queen, a king reigned",Queen Mary,C
23,What does 'HTTPS' mean?,HyperText Transfer Protocol Standard,Secure HyperText Transfer Protocol,HyperText Transfer Protocol Secure,High-security Transfer Protocol Standard,C
24,What is the name of Santa Claus's red-nosed reindeer?,Prancer,Dancer,Rudolph,Comet,C
25,What is the name for the person who reviews and corrects a book?,Publisher,Author,Printer,Editor,D
26,What is the name of a group of owls?,Pack,Flock,Parliament,Wisdom,C
27,What does an apostrophe (') indicate?,A question,Possession or contractions,An exclamation,A pause,B
28,What does 'NLP' stand for in AI?,Natural Language Processing,Neural Language Program,Natural Learning Process,Neural Learning Processing,A
29,What does 'terra' mean in Latin?,Sky,Sea,Earth/Land,Fire,C
30,How many sides does an octagon have?,6,7,8,9,C
31,"In Greek mythology, who is the god of war?",Apollo,Poseidon,Zeus,Ares,D
32,What does 'sí' mean in Spanish?,No,Please,Thank you,Yes,D
33,What animal is known as the 'King of the Jungle'?,Tiger,Elephant,Gorilla,Lion,D
34,What is the capital of Croatia?,Split,Rijeka,Osijek,Zagreb,D
35,What year was the International Space Station first launched?,1995,2000,1998,2001,C
36,What is the most densely populated country in the world?,Singapore,Bangladesh,Monaco,Maldives,C
37,What is the name of the punctuation mark '?'?,Exclamation point,Period,Semicolon,Question mark,D
38,What HTML tag is used to create a hyperlink?,<link>,<href>,<url>,<a>,D
39,What does 'no' mean in Spanish?,Yes,No,Please,Goodbye,B
40,What is the capital of Mongolia?,Darkhan,Erdenet,Choibalsan,Ulaanbaatar,D
41,What is the tallest mountain in the world?,K2,Mount Everest,Kangchenjunga,Lhotse,B
42,What is the national flower of Scotland?,Rose,Thistle,Daffodil,Heather,B
43,What is the term for animals that live in trees?,Aquatic,Terrestrial,Fossorial,Arboreal,D
44,What is the name of the scientist known for the theory of relativity?,Isaac Newton,Nikola Tesla,Stephen Hawking,Albert Einstein,D
45,What is the capital of Italy?,Milan,Venice,Florence,Rome,D
46,What is the smallest country in the world?,Monaco,Vatican City,San Marino,Liechtenstein,B
47,What does 'download' mean?,Sending data from your device to a server,Transferring data from the internet to your device,Deleting data from your device,Moving data between devices,B
48,What is the center of our solar system?,The Moon,The Earth,The Sun,Jupiter,C
49,What was the first country to give women the right to vote?,USA,UK,France,New Zealand,D
50,What planet is between Earth and Jupiter?,Mercury,Venus,Saturn,Mars,D
51,What fruit grows on a vine?,Apples,Grapes,Pears,Peaches,B
52,What is the name of the punctuation mark ':'?,Semicolon,Period,Comma,Colon,D
53,What is the name of the trophy awarded to the winner of the Stanley Cup?,Stanley Cup,The Cup,The Puck Trophy,Commissioner's Trophy,A
54,What does 'ISBN' stand for in books?,International Standard Book Number,International System of Book Numbering,Internal Standard Book Number,International Serial Book Number,A
55,Who wrote the Declaration of Independence mainly?,George Washington,Benjamin Franklin,John Adams,Thomas Jefferson,D
56,What is the capital of Ukraine?,Kharkiv,Lviv,Odessa,Kyiv,D
57,What does 'forte' mean in music dynamics?,Very soft,Soft,Medium,Loud,D
58,What is the name of the process of writing code?,Compiling,Debugging,Programming,Executing,C
59,What is the name of Snow White's prince?,Prince Phillip,Prince Eric,Prince Charming,Prince Adam,C
60,What does 'bold' text do?,Makes text thinner,Makes text larger,Makes text thicker/heavier,Makes text italic,C
61,What does the suffix '-ology' mean?,Fear of,The study of,Without,The practice of,B
62,What particles are found in the nucleus of an atom?,Electrons and neutrons,Protons only,Electrons only,Protons and neutrons,D
63,What is the main ingredient in hummus?,Lentils,Chickpeas,Black beans,White beans,B
64,What is the name of the Egyptian goddess of cats?,Isis,Nut,Bastet,Hathor,C
65,What is the symbol for sodium on the periodic table?,So,Sd,Na,No,C
66,What is the most abundant gas in Earth's atmosphere?,Oxygen,Carbon Dioxide,Argon,Nitrogen,D
67,What is a young dog called?,Kitten,Cub,Foal,Puppy,D
68,What is an ode?,A short humorous poem,A 14-line poem,A lyrical poem in praise of something,A Japanese poem,C
69,What is the most popular music streaming platform?,Apple Music,SoundCloud,Tidal,Spotify,D
70,What is the capital of Argentina?,Córdoba,Rosario,Buenos Aires,Mendoza,C
71,What is the capital of the United Kingdom?,Edinburgh,Dublin,London,Cardiff,C
72,What is the currency of the United Kingdom?,Euro,Pound Sterling,Dollar,Franc,B
73,What is the capital of Peru?,Arequipa,Cusco,Trujillo,Lima,D
74,What is the lowest male singing voice?,Tenor,Baritone,Bass,Countertenor,C
75,What does 'RAM' stand for?,Random Access Memory,Read Access Memory,Rapid Access Memory,Remote Access Memory,A
76,In what year did the French Revolution begin?,1799,1776,1804,1789,D
77,What is the name for fear of the dark?,Claustrophobia,Nyctophobia,Photophobia,Scotophobia,B
78,What color is a ruby?,Blue,Green,Yellow,Red,D
79,What ocean is the largest?,Atlantic,Indian,Arctic,Pacific,D
80,What does 'e.g.' stand for?,Et gratia,Exempli gratia (for example),Est genus,Et cetera,B
81,What is the name of the study of the ocean?,Hydrography,Oceanography,Marine biology,Aquatic science,B
82,How many letters are in the English alphabet?,24,26,28,25,B
83,What type of nut grows on a walnut tree?,Pecan,Almond,Hazelnut,Walnut,D
84,What does a thermometer measure?,Humidity,Pressure,Wind speed,Temperature,D
85,What is the name of the famous colosseum in Rome?,The Pantheon,The Forum,The Colosseum,The Circus Maximus,C
86,How many bones are in the adult human body?,186,206,196,216,B
87,What is a 'hat trick' in cricket?,3 wickets in 3 balls,3 sixes in a row,3 fours in a row,3 wickets in an over,A
88,What is the capital of the United Arab Emirates?,Dubai,Sharjah,Abu Dhabi,Ajman,C
89,What does 'circa' (c.) mean?,After,Before,Approximately,Exactly,C
90,What does 'antagonist' mean?,The main character,The narrator,The supporting character,The villain or opposing force,D
91,"In tennis, what is the term for a score of 40-40?",Tie,Even,Deuce,Match point,C
92,Which band sang 'Bohemian Rhapsody'?,The Rolling Stones,Led Zeppelin,The Beatles,Queen,D
93,What is the name of the study of plants?,Zoology,Botany,Ecology,Mycology,B
94,What is 'null' in programming?,Zero,Empty string,False,The absence of a value,D
95,What is the capital of Paraguay?,Ciudad del Este,Encarnación,San Lorenzo,Asunción,D
96,What does 'third person' point of view mean in writing?,Written from 'I' perspective,Written from 'you' perspective,Written from 'he/she/they' perspective,Written from 'we' perspective,C
97,What is the capital of Luxembourg?,Esch-sur-Alzette,Differdange,Diekirch,Luxembourg City,D
98,What is the name of a reusable block of code that performs a specific task?,Class,Object,Variable,Function,D
99,What is the name of the phobia of the number 13?,Triskaidekaphobia,Octophobia,Deciphobia,Tridecaphobia,A
100,What does 'XML' stand for?,Extended Markup Language,Extreme Markup Language,Extensible Markup Language,Extended Model Language,C
101,What is the name of the lens at the front of a camera that focuses light?,Aperture,Shutter,Sensor,Objective lens,D
102,What are the official languages of Switzerland?,"German, French, Italian, Romansh","German, French, Italian, English","German, French, Dutch, Italian","German, French, Italian, Spanish",A
103,What is the name of the day when clocks go back in autumn?,Daylight Saving Time,British Summer Time,Winter Time,Standard Time begins,A
104,What do bees produce?,Silk,Wax only,Honey,Venom,C
105,What is the name for the empty space around design elements?,Margin,Padding,White space/negative space,Gutter,C
106,Who wrote 'The Odyssey'?,Virgil,Sophocles,Plato,Homer,D
107,What is the name of Google's AI assistant/model?,ChatGPT,Claude,Copilot,Gemini,D
108,Which of these is a fossil fuel?,Solar power,Wind power,Natural gas,Hydroelectric power,C
