ID,Problem,Model Response,Extracted Answer,Ground Truth,Correct,Latency,Subject,Input Tokens,Output Tokens
e7c27198-0cbe-4676-ae4c-52d1c05bdc22,Which of the following produces dissociated anesthesia,The answer is (A),A,A,True,1.878102723,Anaesthesia,78,80
7b1edff7-f9d7-419a-8052-8445d99304f8,Local Anesthetic first used,The answer is (D),D,D,True,3.183062474,Anaesthesia,75,208
fd04affe-d1aa-4536-b799-c363a1ec6e78,The Rendell-Baker-Soucek face mask is commonly used in this population?,"The Rendell-Baker-Soucek mask is a lightweight anesthesia face mask with low dead space, designed to fit small faces and commonly used for infants and children.  The answer is (A)",A,A,True,3.30946623,Anaesthesia,81,305
dacfe1f5-98dc-41f2-b98b-55d2d846eb7b,Which of the following drugs produces dissociative anesthesia,The answer is (A),A,A,True,2.000490404,Anaesthesia,80,144
73754966-7443-45e1-9e45-04039dd492f6,Stages of anaesthesia were established by –,The answer is (A),A,A,True,4.829144673,Anaesthesia,76,272
a8f0b047-20c1-4ac4-9cef-ee7529f60c48,Shoest action local anaesthetic:,The answer is (D),D,D,True,5.122418595,Anaesthesia,75,272
192b689b-61af-43f5-ba64-065f016c536d,A 6 month old child is suffering from patent ductus arteriosus (PDA) with congestive cardiac failure. Ligation of ductus arteriosus was decided for surgical management. The most appropriate inhalational anaesthetic agent of choice with minimal haemodynamic alteration for induction of anaesthesia is –,The answer is (A),A,A,True,5.361921976,Anaesthesia,133,400
a9d24952-b3c6-4076-ad07-9d3a663910c2,Local anaesthetic with prolonged action ?,The answer is (D),D,D,True,2.400411163,Anaesthesia,73,208
dea51d02-67d6-408b-be23-8d806ec78037,Percentage of Halothane metabolized ?,The answer is (D),D,D,True,6.322309097,Anaesthesia,72,336
a223166e-c26f-480b-9450-980a9395053f,Bone marrow depression is seen with chronic administration of,"Chronic exposure to nitrous oxide oxidizes the cobalt in vitamin B12, inhibiting methionine synthase. This impairs DNA synthesis and can lead to megaloblastic anemia and bone marrow suppression. The other agents listed are not associated with this effect.  The answer is (B)",B,B,True,6.547114683,Anaesthesia,77,326
4ffcb814-aadf-4255-a1fc-eae1ed8aa5ac,Which of the following anesthetic agent does not cause hypotension on injection?,The answer is (B),B,B,True,4.236188283,Anaesthesia,83,400
f5dc8e72-d1f0-46d3-83d4-995da57dbc1e,Induction agent of choice in bronchial asthma,The answer is (C),C,C,True,3.25250874,Anaesthesia,78,208
c68b89a4-d78a-40e6-a123-692afaaeb920,Shoest acting non depolarizing muscle relaxant is?,The answer is (A),A,A,True,3.535231234,Anaesthesia,85,272
028d2345-ed78-4477-87c4-7b422d2ec2d3,Which of the following is not an amino steroid deprivative,The answer is (A),A,A,True,4.735656311,Anaesthesia,82,400
cec6a060-db3c-4a10-9fb4-9f8892a16ac5,Tuohy needle is used for –,Tuohy needle has a curved tip designed to place an epidural catheter; it is used for epidural anaesthesia.  The answer is (B),B,B,True,3.674590494,Anaesthesia,76,296
a075c7cc-0efd-4b2d-a1d6-936e0e8f9a5c,Which of the following anaesthetic drugs is contraindicated in chronic renal failure –,"In chronic renal failure, certain drugs can accumulate due to impaired renal excretion of active or toxic metabolites.   - Pethidine (meperidine) is metabolized to normeperidine, a neurotoxic metabolite that is renally excreted and can accumulate, increasing the risk of CNS toxicity (e.g., seizures). Therefore, it is contraindicated in chronic renal failure. - Morphine’s active metabolite (morphine-6-glucuronide) can also accumulate in renal failure, so it should be used with caution or avoided, but it is not as strictly contraindicated as pethidine in most guidelines. - Fentanyl is primarily hepatically metabolized to inactive metabolites and is safer in renal failure. - Atracurium undergoes Hofmann degradation and ester hydrolysis, making it safe in renal impairment.  The answer is (C)",C,C,True,10.065974377,Anaesthesia,83,636
81a72417-92fa-41f6-9d62-0f34109aac97,Which one of the circuits does not have valves?,The answer is (D),D,D,True,4.001945777,Anaesthesia,78,272
8a9faedd-0ab0-42f8-bf15-b641977b82ee,Short acting L.A –,"Short-acting local anesthetics include agents like procaine and chloroprocaine. Lignocaine (lidocaine) is intermediate-acting, while bupivacaine and tetracaine are long-acting.  The answer is (A)",A,A,True,3.545083524,Anaesthesia,76,317
fb192706-e608-4bcf-962c-4bcd4edef314,The drug which is not suitable for patients with acute porphyria for intravenous induction is:,The answer is (A),A,A,True,9.227128859,Anaesthesia,88,784
