ID,Problem,Ground Truth,Category,Correct_qwen,Latency_qwen,Input Tokens_qwen,Output Tokens_qwen,Correct_gpt5,Latency_gpt5,Input Tokens_gpt5,Output Tokens_gpt5
70,"Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence.",I,business,True,3.441210956,215,506,True,12.892528376,192,1104
71,"Managers are entrusted to run the company in the best interest of ________. Specifically, they have a duty to act for the benefit of the company, as well as a duty of ________ and of _______.",F,business,False,3.103228006,232,462,True,7.988525259,209,464
72,"There are two main issues associated with _____ sizing. _______ is a key issue as due to the information policy of the corporation it can be argued that employees have a right to know if they are being made redundant. _______ is a second issue, particularly the ________ package that employees receive when laid off.",J,business,True,1.203418627,256,175,True,20.2787131,233,1360
73,_______ locate morality beyond the sphere of rationality in an emotional 'moral impulse' towards others.,C,business,False,2.649668453,152,394,True,6.40640185,128,431
74," Some of key differences between Islamic finance and conventional finance include - prohibition of charging and paying _______, prohibition on ______ and ______ transactions, prohibition of sinful investment and requirement for all financial products to be backed by __________.",G,business,False,3.543931506,254,528,True,4.833514764,227,272
75, Which of the following are the three broad groups of organizational characteristics segmentation criteria?,A,business,True,2.328906334,207,345,True,16.593920959,176,599
76," Pine and Gilmore (1999) derive four distinct realms of experience, based on two dimensions. What are these dimensions?",D,business,False,1.62569654,175,239,True,6.193295085,150,389
77," Which type of research methods are designed to elicit responses to predetermined, standardized questions from many respondents?",J,business,True,2.563883657,140,381,True,3.761347915,117,208
78,"Where the price is set low relative to the competition to gain market share, this strategy is known as:",E,business,True,2.895184977,145,431,True,3.748144092,123,208
79,"Once a train pulls out of a station, or an aeroplane takes off or a film starts, those seats are lost and can never be sold. This is referred to as:",F,business,False,3.030143166,170,451,True,7.375380011,146,336
80,"A marketing research firm contracts with clients to conduct a complete marketing research project from data collection, analysis, and reporting. It is a__________ firm.",E,business,True,2.047496141,151,303,True,5.720963412,128,144
81,The six dimensions usually considered to constitute the external marketing environment include all of the following except:,G,business,False,2.577546948,141,383,False,28.759224055,118,1841
82,What is the term for the 'rule of thumb' type of bias in decision making?,J,business,True,2.497289688,144,371,True,4.651264588,121,284
83,As what is ensuring that one individual does not carry the burden of a whole work task referred to?,D,business,False,2.491108251,139,370,False,41.903408912,116,1808
84,What theory is built around the principle that 'people make choices regarding how to behave based on values and beliefs'?,F,business,False,2.192485078,144,325,True,20.031711884,120,784
85,How does lateral communication in an organisation occur?,J,business,True,2.062963224,171,305,True,3.223272091,149,144
86,"The stock of the CCC Corporation is currently valued at $12 and is assumed to possess all the properties of geometric Brownian motion. It has an expected annual return of 15%, an annual volatility of 20%, and the annual risk-free is 10%. Using a binomial lattice, determine the price of a call option on CCC stock maturing in 10 monthes time with a strike price of $14 (Let the distance between nodes on your tree be 1 month in length).",F,business,False,5.609541181,252,839,True,61.437709492,213,4624
87,"George is seen to place an even-money $100,000 bet on the Bulls to win the NBA Finals. If George has a logarithmic utility-of-wealth function and if his current wealth is $1,000,000, what must he believe is the minimum probability that the Bulls will win?",A,business,True,7.784843343,225,1166,True,12.476056825,174,1232
88,"Boy Alcott and Jon Buxton are partners in a steel company. They share the net income in proportion to their average investments. On January 1, Alcott invested $4,000 and Buxton invested $5,000. On May 1, Alcott invested an additional $2,000 and Buxton invested $1,750. On September 1, Alcott withdrew $500. On November 1, each partner invested an additional $2,000. The net profit for the year was $8,736. Find each partner's share of the profit.",B,business,True,6.402906501,471,954,True,9.902913932,381,656
89,"TheAlforsCompany had a beginning inventory of $30,000, Jan 1, 1974. During the year, purchases amounted to $87,500, net sales to $102,000. Assuming that the gross profit rate is 40% of the net sales, what is the ending inventory using the gross profit method of inventory evaluation?",D,business,True,1.965297336,252,290,True,6.001391628,185,317
90,"(a) Given the two discount series of 30-10-2(1/2) % and 25-15-2%, which is better? (b) Given the discount series 15-15% and the single rate of 30%, which is better?",J,business,False,5.096021179,412,758,True,12.888237461,349,918
91,"On July 7, Magee Data stock sold at a high of 23(1/8) and a low of 22(5/8). Giant Industrials sold for a high of 24(1/4) and a low of 23(1/2). Mr. Taylor purchased 300 shares of Magee Data at the high of the day and 400 shares of Giant Industrials at the low of the day. What was the cost of his purchase?",I,business,True,2.447414859,305,361,True,4.714686981,232,336
92,"During a riot, Mr. Winter's car was overturned causing $346.50 in damage.Mr. Winter had $50-deductible col-lision insurance, but no comprehensive coverage. How much will theinsurance company pay Mr. Winter?",E,business,False,1.149785406,204,167,True,16.138354043,163,1217
93,"Janet Firestone purchased an option on a stock for $175 giving her the right to buy 100 shares at 14(1/2) within 90 days. One month later, she exercised her option and then sold the stock on the same day for 17. What was her profit on the stock?",H,business,True,2.070397936,202,306,True,9.697750697,157,498
