ID,Problem,Model Response,Extracted Answer,Ground Truth,Correct,Latency,Input Tokens,Output Tokens
7,How many holes are in a standard golf course?,The answer is (B),B,B,True,1.75030795,74,80
10,What color are the goalposts in American football?,The answer is (D),D,D,True,2.347586279,70,80
9,What does 'radar' stand for?,The answer is (B),B,B,True,2.570062741,89,80
8,What is the capital of Tunisia?,The answer is (D),D,D,True,2.751638662,72,144
5,Who discovered America in 1492?,The answer is (C),C,C,True,2.910803059,77,144
2,What is the capital of the United States?,The answer is (C),C,C,True,2.996618301,73,208
6,Who wrote 'The Great Gatsby'?,The answer is (B),B,B,True,3.005736772,77,80
4,What year was Snapchat founded?,The answer is (B),B,B,True,3.058747251,74,208
1,What is the national sport of Japan?,The answer is (B),B,B,True,3.751223754,71,208
11,What is matter made up of?,The answer is (B),B,B,True,2.437313333,75,144
14,What is the term for animals that are active during the day?,The answer is (C),C,C,True,1.816904547,80,80
13,What is the capital of Germany?,The answer is (D),D,D,True,2.179289949,67,144
18,What is the capital of Cyprus?,The answer is (D),D,D,True,2.487833951,75,144
19,What does 'OKR' stand for?,The answer is (C),C,C,True,1.968657224,81,80
15,Which country has the longest coastline?,The answer is (B),B,B,True,2.996511345,67,208
3,What is the name of the Greek goddess of love?,"Aphrodite is the Greek goddess of love, so the correct option is D.  The answer is (D)",D,D,True,6.902510591,73,162
16,How many time zones does Russia span?,The answer is (C),C,C,True,4.246324636,72,272
24,What is the name of Santa Claus's red-nosed reindeer?,The answer is (C),C,C,True,2.087727199,77,144
17,What is a homophone?,"A homophone is a word that sounds the same as another word but has a different meaning (and often a different spelling), such as ""two,"" ""to,"" and ""too.""  The answer is (C)",C,C,True,5.204915459,85,309
25,What is the name for the person who reviews and corrects a book?,The answer is (D),D,D,True,2.368842457,75,144
23,What does 'HTTPS' mean?,The answer is (C),C,C,True,2.824296278,83,144
26,What is the name of a group of owls?,The answer is (C),C,C,True,1.871384447,72,144
27,What does an apostrophe (') indicate?,The answer is (B),B,B,True,2.331190208,76,144
30,How many sides does an octagon have?,The answer is (C),C,C,True,2.311090911,73,144
31,"In Greek mythology, who is the god of war?",The answer is (D),D,D,True,2.223971947,73,144
22,Who was Queen of England during World War II?,The answer is (C),C,C,True,6.399433723,80,400
28,What does 'NLP' stand for in AI?,The answer is (A),A,A,True,3.39617481,79,144
21,Who was the first woman to win a Nobel Prize?,The answer is (B),B,B,True,7.107271856,80,144
20,What does 'RGB' stand for?,The answer is (A),A,A,True,7.762797218,76,144
34,What is the capital of Croatia?,The answer is (D),D,D,True,1.586518308,69,80
29,What does 'terra' mean in Latin?,The answer is (C),C,C,True,4.005731306,71,272
33,What animal is known as the 'King of the Jungle'?,The answer is (D),D,D,True,2.671963648,73,208
32,What does 'sí' mean in Spanish?,"""sí"" means ""yes"" in Spanish. The answer is (D)",D,D,True,4.235863548,70,218
40,What is the capital of Mongolia?,The answer is (D),D,D,True,1.408390094,76,80
37,What is the name of the punctuation mark '?'?,The answer is (D),D,D,True,2.492118718,74,144
35,What year was the International Space Station first launched?,The answer is (C),C,C,True,3.311018416,78,144
36,What is the most densely populated country in the world?,The answer is (C),C,C,True,3.426667435,71,144
41,What is the tallest mountain in the world?,The answer is (B),B,B,True,2.472368848,76,144
38,What HTML tag is used to create a hyperlink?,The answer is (D),D,D,True,3.061116291,74,144
42,What is the national flower of Scotland?,The answer is (B),B,B,True,2.751560448,71,144
39,What does 'no' mean in Spanish?,The answer is (B),B,B,True,3.106525125,69,144
46,What is the smallest country in the world?,The answer is (B),B,B,True,1.551412404,73,80
43,What is the term for animals that live in trees?,The answer is (D),D,D,True,2.797567386,76,144
51,What fruit grows on a vine?,The answer is (B),B,B,True,2.038750956,70,80
49,What was the first country to give women the right to vote?,The answer is (D),D,D,True,2.378342505,74,144
48,What is the center of our solar system?,The answer is (C),C,C,True,2.465615715,72,144
47,What does 'download' mean?,The answer is (B),B,B,True,2.849100247,91,144
45,What is the capital of Italy?,The answer is (D),D,D,True,3.909062683,67,272
52,What is the name of the punctuation mark ':'?,The answer is (D),D,D,True,2.186775774,72,80
44,What is the name of the scientist known for the theory of relativity?,The theory of relativity (special and general) was developed by Albert Einstein.  The answer is (D),D,D,True,4.700921916,80,288
55,Who wrote the Declaration of Independence mainly?,The answer is (D),D,D,True,2.270956531,72,144
57,What does 'forte' mean in music dynamics?,The answer is (D),D,D,True,2.380430482,72,144
58,What is the name of the process of writing code?,The answer is (C),C,C,True,2.533740337,74,80
